Occupation,Total Employed (thou) 2011,% Men 2011,% Women 2011,% White 2011,% Black 2011,% Asian 2011,% Latinx 2011
First-line supervisors of office and administrative support workers,"1,423",,68.2,,9.6,3.7,11.7
"Switchboard operators, including answering service",39,,-,,-,-,-
Telephone operators,40,,-,,-,-,-
"Communications equipment operators, all other",7,,-,,-,-,-
Bill and account collectors,211,,70.6,,17.3,3.8,18.4
Billing and posting clerks,471,,90.1,,12.3,4.5,15.2
"Bookkeeping, accounting, and auditing clerks","1,300",,89.9,,7.7,4.1,8.4
Gaming cage workers,5,,-,,-,-,-
Payroll and timekeeping clerks,168,,89.3,,14.2,3.7,12
Procurement clerks,26,,-,,-,-,-
Tellers,413,,85.3,,8.7,3.9,14.8
"Financial clerks, all other",64,,77.1,,10.4,14.1,14.9
Brokerage clerks,11,,-,,-,-,-
Correspondence clerks,12,,-,,-,-,-
"Court, municipal, and license clerks",86,,79.5,,16.6,3.5,7.3
"Credit authorizers, checkers, and clerks",45,,-,,-,-,-
Customer service representatives,"1,916",,66.5,,15.7,4.5,16.9
"Eligibility interviewers, government programs",85,,84.2,,22.4,3.3,19.7
File clerks,334,,83.9,,13.7,6.4,15.3
"Hotel, motel, and resort desk clerks",135,,64.4,,19.6,7.8,16.9
"Interviewers, except eligibility and loan",153,,84.4,,17.2,4.5,18.3
"Library assistants, clerical",113,,81.6,,8.6,5.2,8.5
Loan interviewers and clerks,117,,82.7,,11.9,4.2,10.4
New accounts clerks,33,,-,,-,-,-
Order clerks,113,,67.1,,5.9,5.4,11.5
"Human resources assistants, except payroll and timekeeping",40,,-,,-,-,-
Receptionists and information clerks,"1,259",,92.1,,11.3,3.9,17
Reservation and transportation ticket agents and travel clerks,99,,59.5,,23.2,5.8,8.8
"Information and record clerks, all other",118,,83.6,,15.2,2.1,11.5
Cargo and freight agents,8,,-,,-,-,-
Couriers and messengers,249,,16.4,,16.7,2.5,14.4
Dispatchers,239,,57.9,,17.8,1.9,12
"Meter readers, utilities",28,,-,,-,-,-
Postal service clerks,146,,50.9,,26.4,10.9,10.1
Postal service mail carriers,348,,36,,13.7,6.9,10
"Postal service mail sorters, processors, and processing machine operators",60,,40.5,,30.5,8.9,16.2
"Production, planning, and expediting clerks",236,,53.5,,8.9,2.9,9.5
"Shipping, receiving, and traffic clerks",559,,28.5,,14.2,3.7,24.3
Stock clerks and order fillers,"1,503",,34.8,,15.5,3.4,18.8
"Weighers, measurers, checkers, and samplers, recordkeeping",70,,55.7,,17.6,5,22.1
Secretaries and administrative assistants,"2,871",,95.9,,8.2,2.6,9.7
Computer operators,126,,49.9,,11.1,5.9,11.1
Data entry keyers,334,,83.2,,16,4.9,12.6
Word processors and typists,136,,88.5,,18.8,6.2,10
Desktop publishers,2,,-,,-,-,-
Insurance claims and policy processing clerks,246,,83,,17.4,2.1,10.1
"Mail clerks and mail machine operators, except postal service",93,,53,,18,3.3,15
"Office clerks, general","1,061",,85.4,,13.5,5,15.5
"Office machine operators, except computer",45,,-,,-,-,-
Proofreaders and copy markers,7,,-,,-,-,-
Statistical assistants,18,,-,,-,-,-
"Office and administrative support workers, all other",513,,74.8,,14.2,4,12.6
,,,,,,,
"Natural resources, construction, and maintenance occupations","13,009",,4.2,,6.5,2,25.3
"Farming, fishing, and forestry occupations","1,001",,21.6,,4.3,1.4,43
"First-line supervisors of farming, fishing, and forestry workers",52,,8.4,,1,0,23.2
Agricultural inspectors,22,,-,,-,-,-
Animal breeders,10,,-,,-,-,-
"Graders and sorters, agricultural products",95,,60.2,,12.6,3.6,51.5
Miscellaneous agricultural workers,708,,19.1,,2.8,1.3,49.6
Fishers and related fishing workers,37,,-,,-,-,-
Hunters and trappers,2,,-,,-,-,-
Forest and conservation workers,14,,-,,-,-,-
Logging workers,61,,0.9,,7,0,9.1
Construction and extraction occupations,"7,125",,2.3,,5.9,1.5,29.4
First-line supervisors of construction trades and extraction workers,634,,2.2,,5.2,0.7,16.5
Boilermakers,19,,-,,-,-,-
"Brickmasons, blockmasons, and stonemasons",146,,0.9,,5,1.9,39.3
Carpenters,"1,330",,1.9,,5.3,1.6,26.7
"Carpet, floor, and tile installers and finishers",189,,0.5,,6.3,2.4,43.2
"Cement masons, concrete finishers, and terrazzo workers",70,,0,,9.3,0.6,47.8
Construction laborers,"1,253",,2.1,,7.3,1.8,42.9
"Paving, surfacing, and tamping equipment operators",21,,-,,-,-,-
Pile-driver operators,1,,-,,-,-,-
Operating engineers and other construction equipment operators,369,,0.8,,5,0.2,16.6
"Drywall installers, ceiling tile installers, and tapers",150,,1.7,,2,0.6,59.7
Electricians,682,,1.5,,6.1,2.4,14
Glaziers,48,,-,,-,-,-
Insulation workers,47,,-,,-,-,-
"Painters, construction and maintenance",528,,6.8,,6.5,2.5,41.8
Paperhangers,8,,-,,-,-,-
"Pipelayers, plumbers, pipefitters, and steamfitters",519,,1.7,,6.4,1.4,22.5
Plasterers and stucco masons,24,,-,,-,-,-
Reinforcing iron and rebar workers,7,,-,,-,-,-
Roofers,222,,1.1,,4.9,0.8,47.3
Sheet metal workers,126,,2.3,,2.2,0.6,18.9
Structural iron and steel workers,66,,0,,4.1,0,19.5
Solar photovoltaic installers,5,,-,,-,-,-
